,implemented fields,missing fields,clusters
fantasydata.net:nfl-v3-projections-dfsr,10,5,1
fantasydata.net:nfl-v3-rotoballer-articles,10,5,1
fantasydata.net:nfl-v3-rotoballer-premium-news,10,5,1
fantasydata.net:nfl-v3-scores,10,5,1
fantasydata.net:nfl-v3-stats,10,5,1
fantasydata.net:nhl-v3-play-by-play,10,5,1
fantasydata.net:nhl-v3-projections,10,5,1
fantasydata.net:nhl-v3-scores,10,5,1
fantasydata.net:nhl-v3-stats,10,5,1
fantasydata.net:soccer-v3-projections,10,5,1
fantasydata.net:soccer-v3-scores,10,5,1
fantasydata.net:soccer-v3-stats,10,5,1
figshare.com,9,6,3
firebrowse.org,8,7,4
flat.io,12,3,5
flickr.com,9,6,3
formapi.io,8,7,4
freesound.org,10,5,1
funtranslations.com,9,6,3
furkot.com,11,4,0
geneea.com,12,3,5
geodesystems.com,8,7,4
getgo.com:gototraining,11,4,0
getgo.com:gotowebinar,11,4,0
getsandbox.com,12,3,5
gettyimages.com,9,6,3
giphy.com,15,0,9
gisgraphy.com,8,7,4
github.com,11,4,0
gitlab.com,11,4,0
googleapis.com:abusiveexperiencereport,11,4,0
googleapis.com:acceleratedmobilepageurl,10,5,1
googleapis.com:adexchangebuyer,11,4,0
googleapis.com:adexchangebuyer2,11,4,0
googleapis.com:adexchangeseller,11,4,0
googleapis.com:adexperiencereport,11,4,0
googleapis.com:admin,11,4,0
googleapis.com:adsense,11,4,0
googleapis.com:adsensehost,11,4,0
googleapis.com:analytics,11,4,0
googleapis.com:analyticsreporting,11,4,0
googleapis.com:androiddeviceprovisioning,10,5,1
googleapis.com:androidenterprise,11,4,0
googleapis.com:androidmanagement,11,4,0
googleapis.com:androidpublisher,11,4,0
googleapis.com:appengine,11,4,0
googleapis.com:appsactivity,11,4,0
googleapis.com:appstate,11,4,0
googleapis.com:bigquery,11,4,0
googleapis.com:bigquerydatatransfer,11,4,0
googleapis.com:blogger,11,4,0
googleapis.com:books,11,4,0
googleapis.com:calendar,11,4,0
googleapis.com:chat,10,5,1
googleapis.com:civicinfo,10,5,1
googleapis.com:classroom,11,4,0
googleapis.com:cloudbilling,11,4,0
googleapis.com:cloudbuild,11,4,0
googleapis.com:clouddebugger,11,4,0
googleapis.com:clouderrorreporting,11,4,0
googleapis.com:cloudfunctions,11,4,0
googleapis.com:cloudiot,11,4,0
googleapis.com:cloudkms,11,4,0
googleapis.com:cloudmonitoring,11,4,0
googleapis.com:cloudresourcemanager,11,4,0
googleapis.com:cloudshell,11,4,0
googleapis.com:cloudtasks,11,4,0
googleapis.com:cloudtrace,11,4,0
googleapis.com:clouduseraccounts,11,4,0
googleapis.com:compute,11,4,0
googleapis.com:consumersurveys,10,5,1
googleapis.com:container,11,4,0
googleapis.com:content,11,4,0
googleapis.com:customsearch,10,5,1
googleapis.com:dataflow,11,4,0
googleapis.com:dataproc,11,4,0
googleapis.com:datastore,11,4,0
